iso3,iso2,name,m49code,gapminder_url,tasteatlas_url,extra_links
NLD,NL,Netherlands,528,https://www.gapminder.org/dollar-street?countries=nl,https://www.tasteatlas.com/netherlands/map,
NGA,NG,Nigeria,566,https://www.gapminder.org/dollar-street?countries=ng,https://www.tasteatlas.com/nigeria/map,
PAK,PK,Pakistan,586,https://www.gapminder.org/dollar-street?countries=pk,https://www.tasteatlas.com/pakistan/map,
PNG,PG,Papua New Guinea,598,https://www.gapminder.org/dollar-street?countries=pg,https://www.tasteatlas.com/papua-new-guinea/map,
PER,PE,Peru,604,https://www.gapminder.org/dollar-street?countries=pe,https://www.tasteatlas.com/peru/map,
PHL,PH,Philippines,608,https://www.gapminder.org/dollar-street?countries=ph,https://www.tasteatlas.com/philippines/map,
KOR,KR,Republic of Korea,410,https://www.gapminder.org/dollar-street?countries=kr,https://www.tasteatlas.com/south-korea/map,
ROU,RO,Romania,642,https://www.gapminder.org/dollar-street?countries=ro,https://www.tasteatlas.com/romania/map,
RUS,RU,Russian Federation,643,https://www.gapminder.org/dollar-street?countries=ru,https://www.tasteatlas.com/russia/map,
RWA,RW,Rwanda,646,https://www.gapminder.org/dollar-street?countries=rw,https://www.tasteatlas.com/rwanda/map,
SRB,RS,Serbia,688,https://www.gapminder.org/dollar-street?countries=rs,https://www.tasteatlas.com/serbia/map,
SOM,SO,Somalia,706,https://www.gapminder.org/dollar-street?countries=so,https://www.tasteatlas.com/somalia/map,
ZAF,ZA,South Africa,710,https://www.gapminder.org/dollar-street?countries=za,https://www.tasteatlas.com/south-africa/map,
SSD,SS,South Sudan,728,https://www.gapminder.org/dollar-street?countries=ss,https://www.tasteatlas.com/south-sudan/map,
ESP,ES,Spain,724,https://www.gapminder.org/dollar-street?countries=es,https://www.tasteatlas.com/spain/map,
LKA,LK,Sri Lanka,144,https://www.gapminder.org/dollar-street?countries=lk,https://www.tasteatlas.com/sri-lanka/map,
PSE,PS,State of Palestine,275,https://www.gapminder.org/dollar-street?countries=ps,https://www.tasteatlas.com/palestine-state-of/map,
SWE,SE,Sweden,752,https://www.gapminder.org/dollar-street?countries=se,https://www.tasteatlas.com/sweden/map,
CHE,CH,Switzerland,756,https://www.gapminder.org/dollar-street?countries=ch,https://www.tasteatlas.com/switzerland/map,
THA,TH,Thailand,764,https://www.gapminder.org/dollar-street?countries=th,https://www.tasteatlas.com/thailand/map,
TGO,TG,Togo,768,https://www.gapminder.org/dollar-street?countries=tg,https://www.tasteatlas.com/togo/map,
TUN,TN,Tunisia,788,https://www.gapminder.org/dollar-street?countries=tn,https://www.tasteatlas.com/tunisia/map,
TUR,TR,Türkiye,792,https://www.gapminder.org/dollar-street?countries=tr,https://www.tasteatlas.com/türkiye/map,
UKR,UA,Ukraine,804,https://www.gapminder.org/dollar-street?countries=ua,https://www.tasteatlas.com/ukraine/map,
GBR,GB,United Kingdom of Great Britain and Northern Ireland,826,https://www.gapminder.org/dollar-street?countries=gb,https://www.tasteatlas.com/united-kingdom/map,
TZA,TZ,United Republic of Tanzania,834,https://www.gapminder.org/dollar-street?countries=tz,https://www.tasteatlas.com/tanzania/map,
USA,US,United States of America,840,https://www.gapminder.org/dollar-street?countries=us,https://www.tasteatlas.com/usa/map,
VNM,VN,Viet Nam,704,https://www.gapminder.org/dollar-street?countries=vn,https://www.tasteatlas.com/vietnam/map,
ZWE,ZW,Zimbabwe,716,https://www.gapminder.org/dollar-street?countries=zw,https://www.tasteatlas.com/zimbabwe/map,
