iso3,wikipedia_url,http_status,final_url
MAF,https://en.wikipedia.org/wiki/Saint_Martin_%28French_part%29,200,https://en.wikipedia.org/wiki/Saint_Martin_%28French_part%29
SPM,https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon,200,https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon
VCT,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,200,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
WSM,https://en.wikipedia.org/wiki/Samoa,200,https://en.wikipedia.org/wiki/Samoa
SMR,https://en.wikipedia.org/wiki/San_Marino,200,https://en.wikipedia.org/wiki/San_Marino
STP,https://en.wikipedia.org/wiki/Sao_Tome_and_Principe,200,https://en.wikipedia.org/wiki/Sao_Tome_and_Principe
SAU,https://en.wikipedia.org/wiki/Saudi_Arabia,200,https://en.wikipedia.org/wiki/Saudi_Arabia
SEN,https://en.wikipedia.org/wiki/Senegal,200,https://en.wikipedia.org/wiki/Senegal
SRB,https://en.wikipedia.org/wiki/Serbia,200,https://en.wikipedia.org/wiki/Serbia
SYC,https://en.wikipedia.org/wiki/Seychelles,200,https://en.wikipedia.org/wiki/Seychelles
SLE,https://en.wikipedia.org/wiki/Sierra_Leone,200,https://en.wikipedia.org/wiki/Sierra_Leone
SGP,https://en.wikipedia.org/wiki/Singapore,200,https://en.wikipedia.org/wiki/Singapore
SXM,https://en.wikipedia.org/wiki/Sint_Maarten_%28Dutch_part%29,200,https://en.wikipedia.org/wiki/Sint_Maarten_%28Dutch_part%29
SVK,https://en.wikipedia.org/wiki/Slovakia,200,https://en.wikipedia.org/wiki/Slovakia
SVN,https://en.wikipedia.org/wiki/Slovenia,200,https://en.wikipedia.org/wiki/Slovenia
SLB,https://en.wikipedia.org/wiki/Solomon_Islands,200,https://en.wikipedia.org/wiki/Solomon_Islands
SOM,https://en.wikipedia.org/wiki/Somalia,200,https://en.wikipedia.org/wiki/Somalia
ZAF,https://en.wikipedia.org/wiki/South_Africa,200,https://en.wikipedia.org/wiki/South_Africa
SGS,https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands,200,https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands
SSD,https://en.wikipedia.org/wiki/South_Sudan,200,https://en.wikipedia.org/wiki/South_Sudan
ESP,https://en.wikipedia.org/wiki/Spain,200,https://en.wikipedia.org/wiki/Spain
LKA,https://en.wikipedia.org/wiki/Sri_Lanka,200,https://en.wikipedia.org/wiki/Sri_Lanka
PSE,https://en.wikipedia.org/wiki/Palestine,200,https://en.wikipedia.org/wiki/Palestine
SDN,https://en.wikipedia.org/wiki/Sudan,200,https://en.wikipedia.org/wiki/Sudan
SUR,https://en.wikipedia.org/wiki/Suriname,200,https://en.wikipedia.org/wiki/Suriname
SJM,https://en.wikipedia.org/wiki/Svalbard_and_Jan_Mayen,200,https://en.wikipedia.org/wiki/Svalbard_and_Jan_Mayen
SWE,https://en.wikipedia.org/wiki/Sweden,200,https://en.wikipedia.org/wiki/Sweden
CHE,https://en.wikipedia.org/wiki/Switzerland,200,https://en.wikipedia.org/wiki/Switzerland
SYR,https://en.wikipedia.org/wiki/Syria,200,https://en.wikipedia.org/wiki/Syria
TJK,https://en.wikipedia.org/wiki/Tajikistan,200,https://en.wikipedia.org/wiki/Tajikistan
TWN,https://en.wikipedia.org/wiki/Taiwan,200,https://en.wikipedia.org/wiki/Taiwan
THA,https://en.wikipedia.org/wiki/Thailand,200,https://en.wikipedia.org/wiki/Thailand
TLS,https://en.wikipedia.org/wiki/Timor-Leste,200,https://en.wikipedia.org/wiki/Timor-Leste
TGO,https://en.wikipedia.org/wiki/Togo,200,https://en.wikipedia.org/wiki/Togo
TKL,https://en.wikipedia.org/wiki/Tokelau,200,https://en.wikipedia.org/wiki/Tokelau
TON,https://en.wikipedia.org/wiki/Tonga,200,https://en.wikipedia.org/wiki/Tonga
TTO,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,200,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
TUN,https://en.wikipedia.org/wiki/Tunisia,200,https://en.wikipedia.org/wiki/Tunisia
TKM,https://en.wikipedia.org/wiki/Turkmenistan,200,https://en.wikipedia.org/wiki/Turkmenistan
TCA,https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands,200,https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands
TUV,https://en.wikipedia.org/wiki/Tuvalu,200,https://en.wikipedia.org/wiki/Tuvalu
TUR,https://en.wikipedia.org/wiki/T%C3%BCrkiye,200,https://en.wikipedia.org/wiki/T%C3%BCrkiye
UGA,https://en.wikipedia.org/wiki/Uganda,200,https://en.wikipedia.org/wiki/Uganda
UKR,https://en.wikipedia.org/wiki/Ukraine,200,https://en.wikipedia.org/wiki/Ukraine
ARE,https://en.wikipedia.org/wiki/United_Arab_Emirates,200,https://en.wikipedia.org/wiki/United_Arab_Emirates
