Country_Code,Country,Per_Capita_USD,Total_Disbursement_USD,Population
ITA,Italy,0.14,8546554.0,59133173
STP,Sao Tome and Principe,0.14,31686.0,221961
CZE,Czechia,0.14,1465157.0,10505772
GMB,Gambia,0.13,337706.0,2576010
THA,Thailand,0.13,9009671.0,71727332
GUY,Guyana,0.12,95960.0,815482
DZA,Algeria,0.07,3295780.0,44761099
SVN,Slovenia,0.07,154376.0,2108079
COM,Comoros,0.07,57427.0,818174
LCN,Latin America and Caribbean Region,0.07,42810062.0,649234493
MUS,Mauritius,0.06,77073.0,1266334
GRC,Greece,0.06,625908.0,10569207
ROU,Romania,0.05,970687.0,19122059
LTU,Lithuania,0.05,140000.0,2808380
BRB,Barbados,0.04,11547.0,282147
TGO,Togo,0.04,344906.0,8878379
IND,India,0.04,54591588.0,1414203896
CAN,Canada,0.03,1180705.0,38239864
BGR,Bulgaria,0.03,175285.0,6507301
SYC,Seychelles,0.03,2500.0,99258
GNB,Guinea-Bissau,0.02,41636.0,2058841
ARG,Argentina,0.02,695903.0,45312281
ARE,United Arab Emirates,0.01,94465.0,9575152
NLD,Netherlands,0.01,143521.0,17533044
CHN,China (P.R.C.),0.01,9837260.0,1412360000
KOR,"Korea, Republic of",0.00,244992.0,51769539
BHR,Bahrain,0.00,6977.0,1504365
BEL,Belgium,0.00,34609.0,11586195
CHL,Chile,0.00,45000.0,19456334
JPN,Japan,0.00,126448.0,125681593
MNA,North Africa Region,0.00,452257.0,704458802
SAU,Saudi Arabia,0.00,1273.0,30784383
