artist_name,country,Location Reason,Author Background,birth_date,death_date,birth_place,work_title,work_url,source,,tags,More info,Public Domain?,iso3,image_path,is_local
,Cameroon,,,,,,,https://www.flickr.com/photos/nationalarchives/5418208061/in/photolist-TrzCsW-22ZRVPy-fq1aEW-HHsrh9-HKSyv6-GWwYvK-9fzULB-9fQQ55-9fMLg4-9fMMm4-9fQRFs-9fMJun-9fQQBs-9fQR6L-9fQUoY-9fQQjY-9fQQpS-9fQTbh-9fQRvu-9fMJer-9fMP2e-9fMJY2-9fMNeK-9fQUeh-9fMMYx-9fMKEr-9fMNqn-9fQTFU-9fQR1m-9fQT59-9fQTXs-9fMN9a-9fMNv2-9fQUjN-9fMMCP-9fQUtj-9fQRqJ-2qriQVK,Flickr Commons,,,,,CMR,https://live.staticflickr.com/5298/5418208061_2c79bdc932.jpg,false
Paul Peel (1860–1892),Canada,Born Canada travel widely in Canada and Europe,https://en.wikipedia.org/wiki/Paul_Peel,,,,,https://commons.wikimedia.org/wiki/File:Paul_Peel_-_Bedtime_(1890).jpg,Wiki Commons,,,https://www.wikiart.org/en/paul-peel/bedtime-1890/,,CAN,https://upload.wikimedia.org/wikipedia/commons/5/57/Paul_Peel_-_Bedtime_%281890%29.jpg,false
Gertrude des Clayes,Canada,,,1879-01-01,1949-08-23,Aberdeen,Untitled (The Refugees),https://commons.wikimedia.org/wiki/Special:FilePath/Gertrude%20des%20Clayes%20-%20Les%20R%C3%A9fugi%C3%A9s%20%281918%29.jpg,Wiki Commons,,,,,CAN,https://upload.wikimedia.org/wikipedia/commons/b/b5/Gertrude_des_Clayes_-_Les_R%C3%A9fugi%C3%A9s_%281918%29.jpg,false
Formerly attributed to Zhou Wenju (傳)周文矩 (active mid-10th century),China,,,,,,Children playing in a garden 明 庭院嬰戯圖 冊頁,https://ids.si.edu/ids/deliveryService?id=FS-7112_07,smithsonian,,,,,CHN,https://ids.si.edu/ids/deliveryService?id=FS-7112_07,false
Francisco Antonio Cano Cardona,Colombia,,,1865-11-24,1935-05-11,Yarumal,Horizontes,https://commons.wikimedia.org/wiki/Special:FilePath/%27Horizontes%27%20%281913%29%20by%20Francisco%20Antonio%20Cano%20-%20Museo%20de%20Antioquia%20-%20Medell%C3%ADn%20-%20Colombia%202024.jpg,Wiki Commons,,,,,COL,https://upload.wikimedia.org/wikipedia/commons/6/6f/%27Horizontes%27_%281913%29_by_Francisco_Antonio_Cano_-_Museo_de_Antioquia_-_Medell%C3%ADn_-_Colombia_2024.jpg,false
,Democratic Republic of the Congo,,,,,,,https://www.flickr.com/photos/liberas/32008147920/in/photolist-RkP97B-RmpQw2-NgAWzt-R5WmXQ-22ZRVPy-PuX2dc-XaXdFR-ZisAqE-R7BYzY-PrKSRd-Q12oDL-QLs8ej-Q12oHo-R4bqrh-Y9dYD3-QHbfvU-PrR3rA-XaCKSM-RabQk2-Y9dYBQ-Zk25dQ-Q7eYiD-R4bqDG-PrKS2s-PjV3gV-RtBmdC-NfokJ7-CgG541-PCiPLS-QHbftj-bAb9k1-RjdgtB-22nVTmJ-HHtfc1-dxqbdr-6DB7zd-HHssFS-Nqfpre-nZtBjk-nZtH72-oiGB9H-bxXqbE-ogWRCi-nZtuiB-nZsf4D-CgG55U-9dPabh-diPrR7-2qPgZhi-2qPgZJa,Flickr Commons,,,,,COD,https://live.staticflickr.com/591/32008147920_aee088289d_b.jpg,false
,Cuba,,,,,,,https://www.flickr.com/photos/north-carolina-state-archives/28772421702/in/photolist-KQwbyf-K4ekgG-KQwbzh-KQwbyq-K4ekdf-ojNM4R-6axeqn-2rwrKnj-ZLHgGS-evsYaK-dpxoiL-FZkJcX-ZxjvTb-253aCTN-79umtV-ZvT3SN-a3E3iv-5PfFpo-4i9tXB-CtRp3g-2qxF6jn-26xQHWv-dqW2SC-oDmdHx-2qqMB8U-ZvT3UG-WBUALQ-zWMJzf-dQoGgy-2qqLhKr-5hepbG-czhKFs-bBph9i-ZLHgF9-ZLHgE7-a3DYT4-a3GzNU-26NW2Cb-2qqNCFJ-ZxjvTG-p6kFoB-2qqMB8y-2qqLhJK-vLj5tH-K4enys-dLsUsR-4idzqm-ZJJhno-2qqLhJp-ZxjvUo,Flickr Commons,,,,,CUB,https://live.staticflickr.com/8675/28772421702_02bdd5d74f_b.jpg,false
Anna Ancher (1859–1935),Denmark,Danish artist,https://en.wikipedia.org/wiki/Anna_Ancher,,,,På havebænken,https://commons.wikimedia.org/wiki/File:Anna_Ancher_-_P%C3%A5_haveb%C3%A6nken_-_HAF_2002.jpg,Wiki Commons,,,https://www.wikiart.org/en/anna-ancher/young-woman-with-her-child-on-her-arm-1905/,Yes,DNK,https://upload.wikimedia.org/wikipedia/commons/9/9a/Anna_Ancher_-_P%C3%A5_haveb%C3%A6nken_-_HAF_2002.jpg,false
,Egypt,Mummy,,,,,,https://commons.wikimedia.org/wiki/File:Fayum-38.jpg,Wiki Commons,,,,Yes,EGY,https://upload.wikimedia.org/wikipedia/commons/0/07/Fayum-38.jpg,false
Georges Hanna Sabbagh,Egypt,,,1887-08-18,1951-12-09,Alexandria,Arab Motherhood,https://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Sabbagh%20-%20Arab%20Motherhood%20-%20Google%20Art%20Project.jpg,Wiki Commons,,,,,EGY,https://upload.wikimedia.org/wikipedia/commons/a/ac/Georges_Sabbagh_-_Arab_Motherhood_-_Google_Art_Project.jpg,false
