id,user_id,user_name,quality_grade,url,image_url,description,latitude,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
10192,516,"",research,http://www.inaturalist.org/observations/10192,https://inaturalist-open-data.s3.amazonaws.com/photos/21537/medium.jpg,"",-43.2051758172,New Zealand,Swamp Harrier,Circus approximans,Swamp Harrier,Aves,5168
10197,516,"",research,http://www.inaturalist.org/observations/10197,https://inaturalist-open-data.s3.amazonaws.com/photos/21545/medium.jpg,"",32.1941360389,United States,Buse à queue rousse,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
10200,516,"",research,http://www.inaturalist.org/observations/10200,https://inaturalist-open-data.s3.amazonaws.com/photos/21554/medium.jpg,"",33.3612876089,United States,Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Aves,3873
10201,516,"",research,http://www.inaturalist.org/observations/10201,https://inaturalist-open-data.s3.amazonaws.com/photos/21555/medium.jpg,"",34.4110875906,United States,chevalier semipalmé,Tringa semipalmata,Willet,Aves,144491
10209,516,"",research,http://www.inaturalist.org/observations/10209,https://inaturalist-open-data.s3.amazonaws.com/photos/21565/medium.jpg,"",59.9169388,United States,Glaucous-winged Gull,Larus glaucescens,Glaucous-winged Gull,Aves,4399
10212,516,"",research,http://www.inaturalist.org/observations/10212,https://inaturalist-open-data.s3.amazonaws.com/photos/21569/medium.jpg,"",-33.8599722,Australia,Silver Gull,Chroicocephalus novaehollandiae,Silver Gull,Aves,144507
10215,516,"",research,http://www.inaturalist.org/observations/10215,https://inaturalist-open-data.s3.amazonaws.com/photos/21573/medium.jpg,"",34.4101670468,United States,Goéland de Californie,Larus californicus,California Gull,Aves,4385
10220,516,"",research,http://www.inaturalist.org/observations/10220,https://inaturalist-open-data.s3.amazonaws.com/photos/21580/medium.jpg,"",32.216316,United States,Sterne caugek,Thalasseus sandvicensis,Sandwich Tern,Aves,144541
10221,516,"",research,http://www.inaturalist.org/observations/10221,https://inaturalist-open-data.s3.amazonaws.com/photos/21581/medium.jpg,"",-32.7216599,Australia,Great Crested Tern,Thalasseus bergii,Great Crested Tern,Aves,144540
10222,516,"",research,http://www.inaturalist.org/observations/10222,https://inaturalist-open-data.s3.amazonaws.com/photos/21582/medium.jpg,"",-42.1247102871,New Zealand,White-fronted Tern,Sterna striata,White-fronted Tern,Aves,4478
10225,516,"",research,http://www.inaturalist.org/observations/10225,https://inaturalist-open-data.s3.amazonaws.com/photos/21586/medium.jpg,"",61.0561111,United States,Arctic Tern,Sterna paradisaea,Arctic Tern,Aves,4449
10226,516,"",research,http://www.inaturalist.org/observations/10226,https://inaturalist-open-data.s3.amazonaws.com/photos/21588/medium.jpg,"",38.0013176,United States,Caspian Tern,Hydroprogne caspia,Caspian Tern,Aves,144537
10228,516,"",research,http://www.inaturalist.org/observations/10228,https://inaturalist-open-data.s3.amazonaws.com/photos/21592/medium.jpg,"",33.4049925438,United States,Inca Dove,Columbina inca,Inca Dove,Aves,3544
10235,516,"",research,http://www.inaturalist.org/observations/10235,https://inaturalist-open-data.s3.amazonaws.com/photos/21599/medium.jpg,"",-28.6441616,Australia,Crested Pigeon,Ocyphaps lophotes,Crested Pigeon,Aves,3681
10242,516,"",research,http://www.inaturalist.org/observations/10242,https://inaturalist-open-data.s3.amazonaws.com/photos/21607/medium.jpg,"",-33.7143637,Australia,Galah,Eolophus roseicapilla,Galah,Aves,144560
10252,516,"",research,http://www.inaturalist.org/observations/10252,https://inaturalist-open-data.s3.amazonaws.com/photos/21616/medium.jpg,"",33.4050059785,United States,Gila Woodpecker,Melanerpes uropygialis,Gila Woodpecker,Aves,18161
10253,516,"",research,http://www.inaturalist.org/observations/10253,https://inaturalist-open-data.s3.amazonaws.com/photos/21618/medium.jpg,"",33.4306088,United States,Acorn Woodpecker,Melanerpes formicivorus,Acorn Woodpecker,Aves,18209
10255,516,"",research,http://www.inaturalist.org/observations/10255,https://inaturalist-open-data.s3.amazonaws.com/photos/21625/medium.jpg,"",34.4111584013,United States,Say's Phoebe,Sayornis saya,Say's Phoebe,Aves,17009
10258,516,"",research,http://www.inaturalist.org/observations/10258,https://inaturalist-open-data.s3.amazonaws.com/photos/21628/medium.jpg,"",33.4306088,United States,Western Kingbird,Tyrannus verticalis,Western Kingbird,Aves,16791
10259,516,"",research,http://www.inaturalist.org/observations/10259,https://inaturalist-open-data.s3.amazonaws.com/photos/21629/medium.jpg,"",33.4306088,United States,Ash-throated Flycatcher,Myiarchus cinerascens,Ash-throated Flycatcher,Aves,16010
10260,516,"",research,http://www.inaturalist.org/observations/10260,https://inaturalist-open-data.s3.amazonaws.com/photos/21630/medium.jpg,"",33.4306088,United States,Olive-sided Flycatcher,Contopus cooperi,Olive-sided Flycatcher,Aves,16110
