id,artist_name,author_wikilink,artist_nationality,artist_iso3,country_of_subject,subject_iso3,title,keep,nudity,image_url,work_url,location_reason,author_background,artwork_date,birth_date,death_date,birth_place,source,tags,more_info,is_local,filepath
19,Charles Bird King,https://en.wikipedia.org/wiki/Charles_Bird_King,American,USA,United States,,Sarah Weston Seaton with her Children Augustine and Julia,Keep,,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2011_147-000001,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2011_147-000001,,,,,,,smithsonian,,,FALSE,images/USA/children_artwork/Sarah_Weston_Seaton_with_her_Children_Augustine_and_Julia.jpg
20,Arthur Durston,https://en.wikipedia.org/wiki/Arthur_Durston,American,USA,United States,,Industry,Keep,,https://ids.si.edu/ids/deliveryService?id=SAAM-1964.1.92_1,https://ids.si.edu/ids/deliveryService?id=SAAM-1964.1.92_1,,,,,,,smithsonian,,,FALSE,images/USA/children_artwork/Industry.jpg
21,Carl Moon,https://en.wikipedia.org/wiki/Carl_Moon,American,USA,United States,,Hopi Mother and Child,Keep,,https://ids.si.edu/ids/deliveryService?id=SAAM-1985.66.383325_2,https://ids.si.edu/ids/deliveryService?id=SAAM-1985.66.383325_2,,,,,,,smithsonian,,,FALSE,images/USA/children_artwork/Hopi_Mother_and_Child.jpg
22,Jane Sutherland,https://en.wikipedia.org/wiki/Jane_Sutherland,Australian,AUS,Australia,,Little Gossips,Keep,,https://upload.wikimedia.org/wikipedia/commons/8/86/Jane_Sutherland_-_Little_Gossips%2C_1888.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Jane_Sutherland_-_Little_Gossips%2C_1888.jpg,Australian artist,https://en.wikipedia.org/wiki/Jane_Sutherland,,,,,Wiki Commons,,,FALSE,images/AUS/children_artwork/Little_Gossips.jpg
23,Frances Hodgkins,https://en.wikipedia.org/wiki/Frances_Hodgkins,New Zealanders,NZL,Belgium,,Belgian Mother and Child,Keep,,https://upload.wikimedia.org/wikipedia/commons/0/09/Frances_Hodgkins_-_Belgian_Mother_and_Child_-_Sarjeant_Gallery.jpg,https://commons.wikimedia.org/wiki/File:Frances_Hodgkins_-_Belgian_Mother_and_Child_-_Sarjeant_Gallery.jpg,"Grew up in New Zealand and moved back, but lived in Europe",https://en.wikipedia.org/wiki/Frances_Hodgkins,,,,,Wiki Commons,,,FALSE,images/NZL/children_artwork/Belgian_Mother_and_Child.jpg
24,Jakob Smits,https://en.wikipedia.org/wiki/Jakob_Smits,Dutch,NLD,Netherlands,,Mater Amabilis,Keep,,https://upload.wikimedia.org/wikipedia/commons/2/25/0020_Mater_Amabilis_1895.jpg,https://en.wikipedia.org/wiki/Jakob_Smits#/media/File:0033_De_zomer_1894.jpg,,,,1855-07-09,1928-02-15,Rotterdam,Wiki Commons,,,FALSE,images/NLD/children_artwork/Mater_Amabilis.jpg
25,Eliseu Visconti ,https://en.wikipedia.org/wiki/Eliseu_Visconti,Brazilian,BRA,Brazil,,Meu netinho (My grandson),Keep,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Eliseu_Visconti_-_Meu_netinho_-_1944.jpg,https://commons.wikimedia.org/wiki/File:Eliseu_Visconti_-_Meu_netinho_-_1944.jpg,Brazilian artist,https://en.wikipedia.org/wiki/Eliseu_Visconti,,,,,Wiki Commons,,,FALSE,images/BRA/children_artwork/Meu_netinho_My_grandson.jpg
26,Paul Peel ,https://en.wikipedia.org/wiki/Paul_Peel,Canadian,CAN,France,,Bedtime,Keep,,https://upload.wikimedia.org/wikipedia/commons/5/57/Paul_Peel_-_Bedtime_%281890%29.jpg,https://commons.wikimedia.org/wiki/File:Paul_Peel_-_Bedtime_(1890).jpg,Born Canada travel widely in Canada and Europe,https://en.wikipedia.org/wiki/Paul_Peel,,,,,Wiki Commons,,,FALSE,images/CAN/children_artwork/Bedtime.jpg
27,Francisco Antonio Cano Cardona,https://en.wikipedia.org/wiki/Francisco_Antonio_Cano_Cardona,Columbian,COL,Colombia,,Horizontes,Keep,,https://upload.wikimedia.org/wikipedia/commons/6/6f/%27Horizontes%27_%281913%29_by_Francisco_Antonio_Cano_-_Museo_de_Antioquia_-_Medell%C3%ADn_-_Colombia_2024.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%27Horizontes%27%20%281913%29%20by%20Francisco%20Antonio%20Cano%20-%20Museo%20de%20Antioquia%20-%20Medell%C3%ADn%20-%20Colombia%202024.jpg,,,,1865-11-24,1935-05-11,Yarumal,Wiki Commons,,,FALSE,images/COL/children_artwork/Horizontes.jpg
28,Anna Ancher,https://en.wikipedia.org/wiki/Anna_Ancher,Danish,DNK,Denmark,,På havebænken (On the garden bench) ,Keep,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Anna_Ancher_-_P%C3%A5_haveb%C3%A6nken_-_HAF_2002.jpg,https://commons.wikimedia.org/wiki/File:Anna_Ancher_-_P%C3%A5_haveb%C3%A6nken_-_HAF_2002.jpg,Danish artist,https://en.wikipedia.org/wiki/Anna_Ancher,,,,,Wiki Commons,,,FALSE,images/DNK/children_artwork/På_havebænken_On_the_garden_bench.jpg
