id,artist_name,author_wikilink,artist_nationality,artist_iso3,country_of_subject,subject_iso3,title,keep,nudity,image_url,work_url,location_reason,author_background,artwork_date,birth_date,death_date,birth_place,source,tags,more_info,is_local,filepath
48,José Júlio de Sousa Pinto,https://en.wikipedia.org/wiki/Jos%C3%A9_J%C3%BAlio_de_Souza_Pinto, Portuguese ,PRT,France,,La Récolte des pommes de terre (The Potato Harvest),Keep,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Jos%C3%A9_J%C3%BAlio_de_Souza_Pinto_%281856%E2%80%941939%29._Potatoes.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20J%C3%BAlio%20de%20Souza%20Pinto%20%281856%E2%80%941939%29.%20Potatoes.jpg,,,,1856-09-15,1939-04-14,Angra do Heroísmo,Wiki Commons,,,FALSE,images/PRT/children_artwork/La_Récolte_des_pommes_de_terre_The_Potato_Harvest.jpg
49,Nicolae Grigorescu,https://en.wikipedia.org/wiki/Nicolae_Grigorescu,Romanian,ROU,Romania,,Girls Spinning at the Gate,Keep,,https://upload.wikimedia.org/wikipedia/commons/9/93/Nicolae_Grigorescu_-_Fete_lucrand_la_poarta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolae%20Grigorescu%20-%20Fete%20lucrand%20la%20poarta.jpg,,,,1838-05-15,1907-07-21,Pitaru,Wiki Commons,,,FALSE,images/ROU/children_artwork/Girls_Spinning_at_the_Gate.jpg
50,Theodor Aman,https://en.wikipedia.org/wiki/Theodor_Aman,Romanian,ROU,Romania,,Professor George Capșa at the age of 8,Keep,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Theodor_Aman_-_Profesorul_George_Cap%C8%99a_la_v%C3%A2rsta_de_8_ani.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Theodor%20Aman%20-%20Profesorul%20George%20Cap%C8%99a%20la%20v%C3%A2rsta%20de%208%20ani.jpg,,,,1831-03-20,1891-08-19,Câmpulung,Wiki Commons,,,FALSE,images/ROU/children_artwork/Professor_George_Capșa_at_the_age_of_8.jpg
51,Angelica Kauffmann,https://en.wikipedia.org/wiki/Angelica_Kauffman,Swiss,CHE,Russia,,Portrait of Countess A.S. Protasova with her Nieces,Keep,,https://upload.wikimedia.org/wikipedia/commons/9/90/Angelika_Kauffmann_009.jpg,https://commons.wikimedia.org/wiki/File:Angelika_Kauffmann_009.jpg,Russian Duchess,https://en.wikipedia.org/wiki/Angelica_Kauffman,,,,,Wiki Commons,,,FALSE,images/CHE/children_artwork/Portrait_of_Countess_AS_Protasova_with_her_Nieces.jpg
53,Shin Yun-bok,https://en.wikipedia.org/wiki/Sin_Yunbok,Korean,KOR,South Korea,, Woman with a jango,Keep,,https://upload.wikimedia.org/wikipedia/commons/9/97/Hyewon-jangos.ibeun.yeoin.jpg,https://commons.wikimedia.org/wiki/File:Hyewon-jangos.ibeun.yeoin.jpg,Korean artist,https://en.wikipedia.org/wiki/Sin_Yunbok,,,,,Wiki Commons,,,FALSE,images/KOR/children_artwork/Woman_with_a_jango.jpg
54,Carl Larsson,https://en.wikipedia.org/wiki/Carl_Larsson,Swedish,SWE,Sweden,,Say Hello to the Gentleman!,Keep,,https://upload.wikimedia.org/wikipedia/commons/5/52/Say_Hello_to_the_Gentleman%21_.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Say%20Hello%20to%20the%20Gentleman%21%20.jpg,,,,1853-05-28,1919-01-22,Storkyrkoförsamlingen,Wiki Commons,,,FALSE,images/SWE/children_artwork/Say_Hello_to_the_Gentleman.jpg
55,Osman Hamdi Bey,https://en.wikipedia.org/wiki/Osman_Hamdi_Bey,Turkish,TUR,Turkey,,Two Musician Girls,Keep,,https://upload.wikimedia.org/wikipedia/commons/8/87/Osman_Hamdi_Bey_-_Two_Musician_Girls_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Osman_Hamdi_Bey_-_Two_Musician_Girls_-_Google_Art_Project.jpg,Born died in ottoman empire,https://en.wikipedia.org/wiki/Osman_Hamdi_Bey,,,,,Wiki Commons,,,FALSE,images/TUR/children_artwork/Two_Musician_Girls.jpg
56,Mykola Pymonenko,https://en.wikipedia.org/wiki/Mykola_Pymonenko, Ukrainian,UKR,Ukraine,,Vechoriye (In the evenings),Keep,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Mykola_Pymonenko-Vechoriye.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Mykola%20Pymonenko-Vechoriye.jpg,,,,1862-03-21,1912-04-08,Kyiv,Wiki Commons,,,FALSE,images/UKR/children_artwork/Vechoriye_In_the_evenings.jpg
57,Helene Schjerfbeck,https://en.wikipedia.org/wiki/Helene_Schjerfbeck,Finnish,FIN,United Kingdom,,The Convalescent,Keep,,https://upload.wikimedia.org/wikipedia/commons/0/09/Helene_Schjerfbeck_%281862-1946%29-_The_Convalescent_-_Toipilas_-_Konvalescenten_%2832721924996%29.jpg,https://commons.wikimedia.org/wiki/File:Helene_Schjerfbeck_(1862-1946)-_The_Convalescent_-_Toipilas_-_Konvalescenten_(32721924996).jpg,"Finnish artist, painted in England",https://en.wikipedia.org/wiki/Helene_Schjerfbeck,,,,,Wiki Commons,,,FALSE,images/FIN/children_artwork/The_Convalescent.jpg
58,Jose Campeche,https://en.wikipedia.org/wiki/Jos%C3%A9_Campeche,Puerto Rican,PRI,Puerto Rico,,Doña María Catalina de Urrutia,Keep,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Jos%C3%A9_Campeche_-_Do%C3%B1a_Mar%C3%ADa_Catalina_de_Urrutia.jpg,https://commons.wikimedia.org/wiki/File:Jos%C3%A9_Campeche_-_Do%C3%B1a_Mar%C3%ADa_Catalina_de_Urrutia.jpg,Puerto Rican,https://en.wikipedia.org/wiki/Jos%C3%A9_Campeche,,,,,Wiki Commons,,,FALSE,images/PRI/children_artwork/Doña_María_Catalina_de_Urrutia.jpg
59, Francisco Oller,https://en.wikipedia.org/wiki/Francisco_Oller,Puerto Rican,PRI,Puerto Rico,,La escuela del Maestro Cordero (The school of Master Cordero),Keep,,https://upload.wikimedia.org/wikipedia/commons/7/78/La_escuela_del_Maestro_Cordero_by_Francisco_Oller.jpg,https://commons.wikimedia.org/wiki/File:La_escuela_del_Maestro_Cordero_by_Francisco_Oller.jpg,Puerto Rican,https://en.wikipedia.org/wiki/Jos%C3%A9_Campeche,,,,,Wiki Commons,,,FALSE,images/PRI/children_artwork/La_escuela_del_Maestro_Cordero_The_school_of_Master_Cordero.jpg
60,Margaret MacDonald,https://en.wikipedia.org/wiki/Margaret_Macdonald_Mackintosh,Scottish,GBR,United Kingdom,,Summer,Keep,,https://upload.wikimedia.org/wikipedia/commons/4/42/Margaret_MacDonald_-_Summer_1897.jpg,https://commons.wikimedia.org/wiki/File:Margaret_MacDonald_-_Summer_1897.jpg,Scottish artist,https://en.wikipedia.org/wiki/Margaret_Macdonald_Mackintosh,,,,,Wiki Commons,,,FALSE,images/GBR/children_artwork/Summer.jpg
61,Thomas Stuart Smith ,https://en.wikipedia.org/wiki/Thomas_Stuart_Smith,Scottish,GBR,United Kingdom,,Cottage Interior,Keep,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Thomas_Stuart_Smith_%281813-1814-1869%29_-_Cottage_Interior_-_8231.000_-_Stirling_Smith_Museum_and_Art_Gallery.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Stuart_Smith_(1813-1814-1869)_-_Cottage_Interior_-_8231.000_-_Stirling_Smith_Museum_and_Art_Gallery.jpg,,https://en.wikipedia.org/wiki/Thomas_Stuart_Smith,,,,,Wiki Commons,,,FALSE,images/GBR/children_artwork/Cottage_Interior.jpg
62,Arturo Michelena,https://en.wikipedia.org/wiki/Arturo_Michelena, Venezuelan ,VEN,Venezuela,,The Young Mother,Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/9/9a/La_Joven_Madre_1889_by_Arturo_Michelena.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/La%20Joven%20Madre%201889%20by%20Arturo%20Michelena.jpg,,,,1863-06-16,1898-07-29,Valencia,Wiki Commons,,,FALSE,images/VEN/children_artwork/The_Young_Mother.jpg
63,Tô Ngọc Vân,https://en.wikipedia.org/wiki/T%C3%B4_Ng%E1%BB%8Dc_V%C3%A2n,Vietnamese,VNM,Vietnam,,Two women and a child,Keep,,https://upload.wikimedia.org/wikipedia/commons/1/19/Hai_thieu_nu_va_em_be.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Hai%20thieu%20nu%20va%20em%20be.JPG,,,,1906-01-01,1954-01-01,Nghĩa Trụ,Wiki Commons,,,FALSE,images/VNM/children_artwork/Two_women_and_a_child.jpg
64,Pierre-Auguste Renoir,https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir,French,FRA,ITALY,,Young Mother (Jeune mère),Keep,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Pierre-Auguste_Renoir_-_Young_Mother_%28Jeune_m%C3%A8re%29_-_BF15_-_Barnes_Foundation.jpg,https://commons.wikimedia.org/wiki/File:Pierre-Auguste_Renoir_-_Young_Mother_(Jeune_m%C3%A8re)_-_BF15_-_Barnes_Foundation.jpg,,,,,,,Wiki Commons,,,,images/FRA/children_artwork/Young_Mother_Jeune_mère.jpg
65,Dieric Bouts,https://en.wikipedia.org/wiki/Dieric_Bouts,Dutch,NLD,Dutch,,Virgin and Child,Keep,,/Users/marjoleinoostrom/Downloads/main-image.jpeg,,,,,,,,,,,,images/NLD/children_artwork/Virgin_and_Child.jpg
66,Honoré Daumier,https://en.wikipedia.org/wiki/Honor%C3%A9_Daumier,French,FRA,French,,The third class carriage,Keep,,/Users/marjoleinoostrom/Downloads/982px-Honoré_Daumier_034.jpg,,,,,,,,,,,,images/FRA/children_artwork/The_third_class_carriage.jpg
67,Georgios Jakobides,https://en.wikipedia.org/wiki/Georgios_Jakobides,Greek,GRC,Greek,,Grandma’s Favorite,Keep,,/Users/marjoleinoostrom/Downloads/grandma-s-favourite-1893.jpg!Large.jpg,,,,https://en.wikipedia.org/wiki/Vardges_Sureniants,,,,,,,,images/GRC/children_artwork/Grandmas_Favorite.jpg
68,Egon Schiele,https://en.wikipedia.org/wiki/Egon_Schiele,Austrian,AUT,Austria,,Self-Portrait,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Egon_Schiele_-_Selbstportr%C3%A4t_-_1906.jpg/960px-Egon_Schiele_-_Selbstportr%C3%A4t_-_1906.jpg,https://commons.wikimedia.org/wiki/File:Egon_Schiele_-_Selbstportr%C3%A4t_-_1906.jpg,,,,,,Wikipedia,,,,,images/AUT/children_artwork/Self-Portrait.jpg
69,Niko Pirosmani,https://en.wikipedia.org/wiki/Niko_Pirosmani,Georgian,GEO,Georgia,,A Tatar Fruiterer,Keep,,https://upload.wikimedia.org/wikipedia/commons/2/25/Niko_Pirosmani._A_Tatar_Fruiterer._Oil_on_cardboard%2C_75x106_cm._The_State_Museum_of_Fine_Arts_of_Georgia%2C_Tbilisi.jpg,"https://commons.wikimedia.org/wiki/File:Niko_Pirosmani._A_Tatar_Fruiterer._Oil_on_cardboard,_75x106_cm._The_State_Museum_of_Fine_Arts_of_Georgia,_Tbilisi.jpg",,,,,,Wikipedia,,,,,images/GEO/children_artwork/A_Tatar_Fruiterer.jpg
70,Ivana Kobilca,https://en.wikipedia.org/wiki/Ivana_Kobilca,Slovenian,SVN,Slovenia,,Summer,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Ivana_Kobilca_-_Poletje.jpg/960px-Ivana_Kobilca_-_Poletje.jpg,https://commons.wikimedia.org/wiki/File:Ivana_Kobilca_-_Poletje.jpg,,,,,,Wikipedia,,,,,images/SVN/children_artwork/Summer.jpg
71,Peter Paul Rubens,https://en.wikipedia.org/wiki/Peter_Paul_Rubens,Flemish,BEL,Belgium,,The Child with the Bird,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Das_Kind_mit_dem_Vogel_-_Gem%C3%A4ldegalerie_Berlin_-_5405161.jpg/960px-Das_Kind_mit_dem_Vogel_-_Gem%C3%A4ldegalerie_Berlin_-_5405161.jpg,https://commons.wikimedia.org/wiki/File:Das_Kind_mit_dem_Vogel_-_Gem%C3%A4ldegalerie_Berlin_-_5405161.jpg,,,,,,Wikipedia,,,,,images/BEL/children_artwork/The_Child_with_the_Bird.jpg
72,Jan Bułhak,https://en.wikipedia.org/wiki/Jan_Bu%C5%82hak,Polish-Lithuanian,LTU,Lithuania,,Vilnius Children,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Jan_Bu%C5%82hak_-_Wile%C5%84skie_dzieci_%281-P-2260%29.jpg/960px-Jan_Bu%C5%82hak_-_Wile%C5%84skie_dzieci_%281-P-2260%29.jpg,https://commons.wikimedia.org/wiki/File:Jan_Bu%C5%82hak_-_Wile%C5%84skie_dzieci_(1-P-2260).jpg,,,,,,Wikimedia Commons,,,,,images/LTU/children_artwork/Vilnius_Children.jpg
73,Egon Schiele,https://en.wikipedia.org/wiki/Egon_Schiele,Austrian,AUT,Austria,,Mother with Two Children II,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Mother_with_two_children_II_Egon_Schiele_1915.jpg/960px-Mother_with_two_children_II_Egon_Schiele_1915.jpg,https://commons.wikimedia.org/wiki/File:Mother_with_two_children_II_Egon_Schiele_1915.jpg,,,,,,Wikipedia,,,,,images/AUT/children_artwork/Mother_with_Two_Children_II.jpg
74,Ferdinand Georg Waldmüller,https://en.wikipedia.org/wiki/Ferdinand_Georg_Waldm%C3%BCller,Austrian,AUT,Austria,,After School,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/1841_Waldmueller_Nach_der_Schule_anagoria.JPG/960px-1841_Waldmueller_Nach_der_Schule_anagoria.JPG,https://commons.wikimedia.org/wiki/File:1841_Waldmueller_Nach_der_Schule_anagoria.JPG,,,,,,,,,,,images/AUT/children_artwork/After_School.jpg
75,Constantin Meunier,https://en.wikipedia.org/wiki/Constantin_Meunier,Belgian,BEL,Belgium,,Three Female Miners,Keep,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Constantin_Meunier_-_Three_female_miners.jpg,https://commons.wikimedia.org/wiki/File:Constantin_Meunier_-_Three_female_miners.jpg,,,,,,,,,,,images/BEL/children_artwork/Three_Female_Miners.jpg
76,Albert Anker,https://en.wikipedia.org/wiki/Albert_Anker,Swiss,CHE,Switzerland,,"Knitting Girl, Watching a Baby in a Cradle",Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Albert_Anker_-_Strickendes_M%C3%A4dchen%2C_Kleinkind_in_der_Wiege_h%C3%BCtend.jpg/960px-Albert_Anker_-_Strickendes_M%C3%A4dchen%2C_Kleinkind_in_der_Wiege_h%C3%BCtend.jpg,"https://commons.wikimedia.org/wiki/File:Albert_Anker_-_Strickendes_M%C3%A4dchen,_Kleinkind_in_der_Wiege_h%C3%BCtend.jpg",,,,,,,,,,,images/CHE/children_artwork/Knitting_Girl_Watching_a_Baby_in_a_Cradle.jpg
77,Josef Mánes,https://en.wikipedia.org/wiki/Josef_M%C3%A1nes,Czech,CZE,Czechia,,Franziska and Seraphine Kolowrat-Krakowsky,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/M%C3%A1nes_%E2%80%93_Franziska_and_Seraphine_Kolowrat_Krakowsky.jpg/960px-M%C3%A1nes_%E2%80%93_Franziska_and_Seraphine_Kolowrat_Krakowsky.jpg,https://commons.wikimedia.org/wiki/File:M%C3%A1nes_%E2%80%93_Franziska_and_Seraphine_Kolowrat_Krakowsky.jpg,,,,,,,,,,,images/CZE/children_artwork/Franziska_and_Seraphine_Kolowrat-Krakowsky.jpg
78,Joaquín Sorolla,https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Sorolla,Spanish,ESP,Spain,,Nina,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/NinaSorolla.JPG/960px-NinaSorolla.JPG,https://commons.wikimedia.org/wiki/File:NinaSorolla.JPG,,,,,,,,,,,images/ESP/children_artwork/Nina.jpg
79,Albert Edelfelt,https://en.wikipedia.org/wiki/Albert_Edelfelt,Finnish,FIN,Finland,,Boys Playing on the Shore,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Albert_Edelfelt_-_Boys_Playing_on_the_Shore.jpg/960px-Albert_Edelfelt_-_Boys_Playing_on_the_Shore.jpg,https://commons.wikimedia.org/wiki/File:Albert_Edelfelt_-_Boys_Playing_on_the_Shore.jpg,,,,,,,,,,,images/FIN/children_artwork/Boys_Playing_on_the_Shore.jpg
80,Jean-Baptiste Greuze,https://en.wikipedia.org/wiki/Jean-Baptiste_Greuze,French,FRA,France,,The Lazy Boy,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Jean-Baptiste_Greuze_-_The_lazy_boy.jpg/960px-Jean-Baptiste_Greuze_-_The_lazy_boy.jpg,https://commons.wikimedia.org/wiki/File:Jean-Baptiste_Greuze_-_The_lazy_boy.jpg,,,,,,,,,,,images/FRA/children_artwork/The_Lazy_Boy.jpg
81,Franz von Defregger,https://en.wikipedia.org/wiki/Franz_von_Defregger,German,DEU,Germany,,Grace Before Meal,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Franz_von_Defregger_-_Grace_Before_Meal.JPG/960px-Franz_von_Defregger_-_Grace_Before_Meal.JPG,https://commons.wikimedia.org/wiki/File:Franz_von_Defregger_-_Grace_Before_Meal.JPG,,,,,,,,,,,images/DEU/children_artwork/Grace_Before_Meal.jpg
82,Mihály Munkácsy,https://en.wikipedia.org/wiki/Mih%C3%A1ly_Munk%C3%A1csy,Hungarian,HUN,Hungary,,Two Families,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Two_families_%28unknown_date%29%2C_by_Mih%C3%A1ly_von_Munk%C3%A1csy.jpg/960px-Two_families_%28unknown_date%29%2C_by_Mih%C3%A1ly_von_Munk%C3%A1csy.jpg,"https://commons.wikimedia.org/wiki/File:Two_families_(unknown_date),_by_Mih%C3%A1ly_von_Munk%C3%A1csy.jpg",,,,,,,,,,,images/HUN/children_artwork/Two_Families.jpg
83,Jozef Israëls,https://en.wikipedia.org/wiki/Jozef_Isra%C3%ABls,Dutch,NLD,Netherlands,,Young Navigators,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Young_Navigators_-_Jozef_Israels_-_ABDAG002478.jpg/960px-Young_Navigators_-_Jozef_Israels_-_ABDAG002478.jpg,https://commons.wikimedia.org/wiki/File:Young_Navigators_-_Jozef_Israels_-_ABDAG002478.jpg,,,,,,,,,,,images/NLD/children_artwork/Young_Navigators.jpg
84,Christian Krohg,https://en.wikipedia.org/wiki/Christian_Krohg,Norwegian,NOR,Norway,,Sleeping mother with child,Keep,,https://upload.wikimedia.org/wikipedia/commons/2/21/Christian_Krohg-Sovende_mor_med_barn_1883.jpg,https://commons.wikimedia.org/wiki/File:Christian_Krohg-Sovende_mor_med_barn_1883.jpg,,,,,,,,,,,images/NOR/children_artwork/Sleeping_mother_with_child.jpg
85,Józef Chełmoński,https://en.wikipedia.org/wiki/J%C3%B3zef_Che%C5%82mo%C5%84ski,Polish,POL,Poland,,The Storks,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/J%C3%B3zef_Che%C5%82mo%C5%84ski_-_Bociany_-_01_%28MP_561_MNW%29.jpg/960px-J%C3%B3zef_Che%C5%82mo%C5%84ski_-_Bociany_-_01_%28MP_561_MNW%29.jpg,https://commons.wikimedia.org/wiki/File:J%C3%B3zef_Che%C5%82mo%C5%84ski_-_Bociany_-_01_(MP_561_MNW).jpg,,,,,,,,,,,images/POL/children_artwork/The_Storks.jpg
101,Umberto Boccioni,https://en.wikipedia.org/wiki/Umberto_Boccioni,Italian,ITA,,,The wife and daughter of Giacomo Balla,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Umberto_Boccioni_%E2%80%93_La_moglie_di_Balla_con_la_figlia.tiff/lossy-page1-572px-Umberto_Boccioni_%E2%80%93_La_moglie_di_Balla_con_la_figlia.tiff.jpg,https://commons.wikimedia.org/wiki/File:Umberto_Boccioni_%E2%80%93_La_moglie_di_Balla_con_la_figlia.tiff,,,,,,,,,,,images/ITA/children_artwork/The_wife_and_daughter_of_Giacomo_Balla.jpg
86,José Malhoa,https://en.wikipedia.org/wiki/Jos%C3%A9_Malhoa,Portuguese,PRT,Portugal,,Portrait of D. Eugénia Mendes de Loureiro and Her Two Sons Carlos and João Relvas,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Retrato_de_D._Eug%C3%A9nia_Mendes_de_Loureiro_e_dos_seus_dois_filhos_Carlos_e_Jo%C3%A3o_Relvas_%281899%29_-_Jos%C3%A9_Malhoa_%28CP-MA%2C_Inv._84.250%29.png/960px-Retrato_de_D._Eug%C3%A9nia_Mendes_de_Loureiro_e_dos_seus_dois_filhos_Carlos_e_Jo%C3%A3o_Relvas_%281899%29_-_Jos%C3%A9_Malhoa_%28CP-MA%2C_Inv._84.250%29.png,"https://commons.wikimedia.org/wiki/File:Retrato_de_D._Eug%C3%A9nia_Mendes_de_Loureiro_e_dos_seus_dois_filhos_Carlos_e_Jo%C3%A3o_Relvas_(1899)_-_Jos%C3%A9_Malhoa_(CP-MA,_Inv._84.250).png",,,,,,,,,,,images/PRT/children_artwork/Portrait_of_D_Eugénia_Mendes_de_Loureiro_and_Her_Two_Sons_Carlos_and_João_Relvas.jpg
87,Vladimir Makovsky,https://en.wikipedia.org/wiki/Vladimir_Makovsky,Russian,RUS,Russia,,Mother and Daughter,Keep,,https://upload.wikimedia.org/wikipedia/commons/2/27/%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9C%D0%B0%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9._%D0%9C%D0%B0%D1%82%D0%B8_%D1%82%D0%B0_%D0%B4%D0%BE%D0%BD%D1%8C%D0%BA%D0%B0._1886._Vladimir_Makovsky_-_Mother_and_Daughter.jpg,https://commons.wikimedia.org/wiki/File:Vladimir_Makovsky_-_Mother_and_Daughter.jpg,,,,,,,,,,,images/RUS/children_artwork/Mother_and_Daughter.jpg
88,Carl Larsson,https://en.wikipedia.org/wiki/Carl_Larsson,Swedish,SWE,Sweden,,Studio Idyll (The Artist’s Wife with Daughter Suzanne),Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Atelje-idyll_Konstn%C3%A4rens_hustru_med_dottern_Suzanne_av_Carl_Larsson_1885.jpg/960px-Atelje-idyll_Konstn%C3%A4rens_hustru_med_dottern_Suzanne_av_Carl_Larsson_1885.jpg,https://commons.wikimedia.org/wiki/File:Atelje-idyll_Konstn%C3%A4rens_hustru_med_dottern_Suzanne_av_Carl_Larsson_1885.jpg,,,,,,,,,,,images/SWE/children_artwork/Studio_Idyll_The_Artists_Wife_with_Daughter_Suzanne.jpg
89,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,American,USA,United States,,Maternity,Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/d/d4/Cassatt_Mary_Maternite_1890.jpg,https://commons.wikimedia.org/wiki/File:Cassatt_Mary_Maternite_1890.jpg,,,,,,,,,,,images/USA/children_artwork/Maternity.jpg
90,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,American,USA,United States,,The Child’s Bath,Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Mary_Cassatt_-_The_Child%27s_Bath_-_Google_Art_Project.jpg/960px-Mary_Cassatt_-_The_Child%27s_Bath_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Mary_Cassatt_-_The_Child%27s_Bath_-_Google_Art_Project.jpg,,,,,,,,,,,images/USA/children_artwork/The_Childs_Bath.jpg
91,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,American,USA,United States,,Woman in a Red Bodice and Her Child,Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/8/89/Brooklyn_Museum_-_Woman_in_a_Red_Bodice_and_Her_Child_-_Mary_Cassatt_-_overall.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Woman_in_a_Red_Bodice_and_Her_Child_-_Mary_Cassatt_-_overall.jpg,,,,,,,,,,,images/USA/children_artwork/Woman_in_a_Red_Bodice_and_Her_Child.jpg
92,Walter Osborne,https://en.wikipedia.org/wiki/Walter_Osborne,Irish,IRL,Ireland,,Summertime,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Walter_Osborne_Summertime.jpg/960px-Walter_Osborne_Summertime.jpg,https://commons.wikimedia.org/wiki/File:Walter_Osborne_Summertime.jpg,,,,,,,,,,,images/IRL/children_artwork/Summertime.jpg
93,Silvestro Lega,https://en.wikipedia.org/wiki/Silvestro_Lega,Italian,ITA,Italy,,Maternity,Keep,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Lega_Maternt%C3%A0.jpg,https://commons.wikimedia.org/wiki/File:Lega_Maternt%C3%A0.jpg,,,,,,,,,,,images/ITA/children_artwork/Maternity.jpg
94,Raja Ravi Varma,https://en.wikipedia.org/wiki/Raja_Ravi_Varma,Indian,IND,,,There Comes Papa,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Raja_Ravi_Varma%2C_There_Comes_Papa_%281893%29.jpg/960px-Raja_Ravi_Varma%2C_There_Comes_Papa_%281893%29.jpg,"https://commons.wikimedia.org/wiki/File:Raja_Ravi_Varma,_There_Comes_Papa_(1893).jpg",,,,,,,,,,,images/IND/children_artwork/There_Comes_Papa.jpg
95,Diego Rivera,https://en.wikipedia.org/wiki/Diego_Rivera,Mexican,MEX,,,Motherhood (Angelina and the Child),Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Diego_Rivera%2C_c.1916%2C_Maternidad%2C_Angelina_y_el_ni%C3%B1o_Diego%2C_oil_on_canvas%2C_134.5_x_88.5_cm%2C_Museo_de_Arte_Carrillo_Gil.jpg/960px-Diego_Rivera%2C_c.1916%2C_Maternidad%2C_Angelina_y_el_ni%C3%B1o_Diego%2C_oil_on_canvas%2C_134.5_x_88.5_cm%2C_Museo_de_Arte_Carrillo_Gil.jpg,"https://en.wikipedia.org/wiki/Diego_Rivera#/media/File:Diego_Rivera,_c.1916,_Maternidad,_Angelina_y_el_ni%C3%B1o_Diego,_oil_on_canvas,_134.5_x_88.5_cm,_Museo_de_Arte_Carrillo_Gil.jpg",,,,,,,,,,,images/MEX/children_artwork/Motherhood_Angelina_and_the_Child.jpg
96,Élisabeth Vigée Le Brun,https://en.wikipedia.org/wiki/%C3%89lisabeth_Vig%C3%A9e_Le_Brun,French,FRA,,,Self-Portrait with Daughter,Keep,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Self-portrait_with_Her_Daughter_by_Elisabeth-Louise_Vig%C3%A9e_Le_Brun.jpg/960px-Self-portrait_with_Her_Daughter_by_Elisabeth-Louise_Vig%C3%A9e_Le_Brun.jpg,https://en.wikipedia.org/wiki/%C3%89lisabeth_Vig%C3%A9e_Le_Brun#/media/File:Self-portrait_with_Her_Daughter_by_Elisabeth-Louise_Vig%C3%A9e_Le_Brun.jpg,,,,,,,,,,,images/FRA/children_artwork/Self-Portrait_with_Daughter.jpg
